Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Андижанское  вдхр.,,2022-04-11,объем,сред.,1185.88,млн м³,вегетация
г/п Учтепа,,2022-04-11,расход,сред.,161.0,м³/с,вегетация
г/п Каль,,2022-04-11,расход,сред.,318.0,м³/с,вегетация
г/п Каль,,2022-04-11,расход,утро,309.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-11,расход,сред.,318.4,м³/с,вегетация
г/п Кокбулак,,2022-04-11,расход,сред.,534.0,м³/с,вегетация
г/п Келес,,2022-04-11,расход,сред.,37.2,м³/с,вегетация
Токтогульское вдхр.,,2022-04-12,приток,сред.,607.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-12,попуск,сред.,160.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-12,объем,сред.,8018.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-12,Сброс,сред.,298.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-12,приток,сред.,405.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-12,приток,утро,402.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-12,попуск,сред.,200.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-12,попуск,утро,200.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-12,расход,сред.,178.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-12,расход,утро,178.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-12,объем,сред.,3477.2,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-12,приток,сред.,565.0,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-12,приток,сред.,408.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-12,попуск,сред.,191.0,м³/с,вегетация
Кызылкумский канал,,2022-04-12,расход,сред.,45.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-12,объем,сред.,5038.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-12,приток,сред.,282.0,м³/с,вегетация
река Угам,,2022-04-12,расход,сред.,60.3,м³/с,вегетация
Чарвакское вдхр.,,2022-04-12,попуск,сред.,98.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-12,расход,сред.,150.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-12,объем,сред.,823.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-12,приток,сред.,299.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-12,попуск,сред.,120.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-12,объем,сред.,1201.43,млн м³,вегетация
г/п Учтепа,,2022-04-12,расход,сред.,157.0,м³/с,вегетация
г/п Каль,,2022-04-12,расход,сред.,297.0,м³/с,вегетация
г/п Каль,,2022-04-12,расход,утро,327.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-12,расход,сред.,318.38,м³/с,вегетация
г/п Кокбулак,,2022-04-12,расход,сред.,529.0,м³/с,вегетация
г/п Келес,,2022-04-12,расход,сред.,36.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-13,приток,сред.,700.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-13,попуск,сред.,164.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-13,объем,сред.,8066.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-13,Сброс,сред.,309.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-13,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-13,приток,утро,394.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-13,попуск,сред.,200.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-13,попуск,утро,200.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-13,расход,сред.,257.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-13,расход,утро,178.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-13,объем,сред.,3506.6,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-13,приток,сред.,226.0,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-13,приток,сред.,396.3,м³/с,вегетация
Шардаринское вдхр.,,2022-04-13,попуск,сред.,201.0,м³/с,вегетация
Кызылкумский канал,,2022-04-13,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-13,объем,сред.,5030.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-13,приток,сред.,290.0,м³/с,вегетация
река Угам,,2022-04-13,расход,сред.,59.2,м³/с,вегетация
Чарвакское вдхр.,,2022-04-13,попуск,сред.,105.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-13,расход,сред.,160.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-13,объем,сред.,848.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-13,приток,сред.,305.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-13,попуск,сред.,150.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-13,объем,сред.,1216.9,млн м³,вегетация
г/п Учтепа,,2022-04-13,расход,сред.,165.0,м³/с,вегетация
г/п Каль,,2022-04-13,расход,сред.,303.0,м³/с,вегетация
г/п Каль,,2022-04-13,расход,утро,312.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-13,расход,сред.,318.35,м³/с,вегетация
г/п Кокбулак,,2022-04-13,расход,сред.,193.0,м³/с,вегетация
г/п Келес,,2022-04-13,расход,сред.,33.3,м³/с,вегетация
Токтогульское вдхр.,,2022-04-14,приток,сред.,803.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-14,попуск,сред.,194.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-14,объем,сред.,8111.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-14,Сброс,сред.,352.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-14,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-14,приток,утро,381.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-14,попуск,сред.,300.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-14,попуск,утро,300.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-14,расход,сред.,276.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-14,расход,утро,276.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-14,объем,сред.,3511.5,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-14,приток,сред.,222.5,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-14,приток,сред.,380.5,м³/с,вегетация
Шардаринское вдхр.,,2022-04-14,попуск,сред.,207.0,м³/с,вегетация
Кызылкумский канал,,2022-04-14,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-14,объем,сред.,5023.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-14,приток,сред.,303.0,м³/с,вегетация
река Угам,,2022-04-14,расход,сред.,56.1,м³/с,вегетация
Чарвакское вдхр.,,2022-04-14,попуск,сред.,104.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-14,расход,сред.,163.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-14,объем,сред.,873.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-14,приток,сред.,310.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-14,попуск,сред.,150.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-14,объем,сред.,1231.5,млн м³,вегетация
г/п Учтепа,,2022-04-14,расход,сред.,157.0,м³/с,вегетация
г/п Каль,,2022-04-14,расход,сред.,289.0,м³/с,вегетация
г/п Каль,,2022-04-14,расход,утро,312.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-14,расход,сред.,318.52,м³/с,вегетация
г/п Кокбулак,,2022-04-14,расход,сред.,191.0,м³/с,вегетация
г/п Келес,,2022-04-14,расход,сред.,31.5,м³/с,вегетация
Токтогульское вдхр.,,2022-04-15,приток,сред.,809.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-15,попуск,сред.,200.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-15,объем,сред.,8173.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-15,Сброс,сред.,335.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-15,приток,сред.,397.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-15,приток,утро,383.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-15,попуск,сред.,300.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-15,попуск,утро,300.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-15,расход,сред.,276.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-15,расход,утро,276.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-15,объем,сред.,3516.4,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-15,приток,сред.,214.5,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-15,приток,сред.,363.3,м³/с,вегетация
Шардаринское вдхр.,,2022-04-15,попуск,сред.,207.0,м³/с,вегетация
Кызылкумский канал,,2022-04-15,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-15,объем,сред.,5023.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-15,приток,сред.,302.0,м³/с,вегетация
река Угам,,2022-04-15,расход,сред.,51.0,м³/с,вегетация
