Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Токтогульское вдхр.,,2022-04-08,приток,сред.,359.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-08,попуск,сред.,136.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-08,объем,сред.,7922.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-08,Сброс,сред.,250.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-08,приток,сред.,410.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-08,приток,утро,402.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-08,попуск,сред.,100.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-08,попуск,утро,100.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-08,расход,сред.,96.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-08,расход,утро,96.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-08,объем,сред.,3394.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-08,приток,сред.,583.6,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-08,приток,сред.,367.6,м³/с,вегетация
Шардаринское вдхр.,,2022-04-08,попуск,сред.,444.0,м³/с,вегетация
Кызылкумский канал,,2022-04-08,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-08,объем,сред.,5052.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-08,приток,сред.,224.0,м³/с,вегетация
река Угам,,2022-04-08,расход,сред.,58.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-08,попуск,сред.,67.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-08,расход,сред.,118.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-08,объем,сред.,718.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-08,приток,сред.,271.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-08,попуск,сред.,80.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-08,объем,сред.,1141.0,млн м³,вегетация
г/п Учтепа,,2022-04-08,расход,сред.,159.0,м³/с,вегетация
г/п Каль,,2022-04-08,расход,сред.,335.0,м³/с,вегетация
г/п Каль,,2022-04-08,расход,утро,276.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-08,расход,сред.,318.4,м³/с,вегетация
г/п Кокбулак,,2022-04-08,расход,сред.,555.0,м³/с,вегетация
г/п Келес,,2022-04-08,расход,сред.,37.1,м³/с,вегетация
Токтогульское вдхр.,,2022-04-09,приток,сред.,397.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-09,попуск,сред.,151.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-09,объем,сред.,7941.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-09,Сброс,сред.,308.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-09,приток,сред.,416.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-09,приток,утро,439.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-09,попуск,сред.,150.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-09,попуск,утро,100.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-09,расход,сред.,118.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-09,расход,утро,96.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-09,объем,сред.,3423.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-09,приток,сред.,571.0,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-09,приток,сред.,425.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-09,попуск,сред.,215.0,м³/с,вегетация
Кызылкумский канал,,2022-04-09,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-09,объем,сред.,5059.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-09,приток,сред.,246.0,м³/с,вегетация
река Угам,,2022-04-09,расход,сред.,70.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-09,попуск,сред.,50.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-09,расход,сред.,123.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-09,объем,сред.,741.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-09,приток,сред.,259.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-09,попуск,сред.,100.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-09,объем,сред.,1157.0,млн м³,вегетация
г/п Учтепа,,2022-04-09,расход,сред.,177.0,м³/с,вегетация
г/п Каль,,2022-04-09,расход,сред.,321.0,м³/с,вегетация
г/п Каль,,2022-04-09,расход,утро,290.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-09,расход,сред.,318.32,м³/с,вегетация
г/п Кокбулак,,2022-04-09,расход,сред.,547.0,м³/с,вегетация
г/п Келес,,2022-04-09,расход,сред.,36.6,м³/с,вегетация
Токтогульское вдхр.,,2022-04-10,приток,сред.,458.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-10,попуск,сред.,168.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-10,объем,сред.,7964.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-10,Сброс,сред.,310.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-10,приток,сред.,422.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-10,приток,утро,413.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-10,попуск,сред.,200.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-10,попуск,утро,150.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-10,расход,сред.,160.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-10,расход,утро,131.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-10,объем,сред.,3448.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-10,приток,сред.,566.2,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-10,приток,сред.,415.2,м³/с,вегетация
Шардаринское вдхр.,,2022-04-10,попуск,сред.,182.0,м³/с,вегетация
Кызылкумский канал,,2022-04-10,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-10,объем,сред.,5030.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-10,приток,сред.,257.0,м³/с,вегетация
река Угам,,2022-04-10,расход,сред.,70.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-10,попуск,сред.,79.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-10,расход,сред.,130.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-10,объем,сред.,771.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-10,приток,сред.,247.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-10,попуск,сред.,100.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-10,объем,сред.,1172.0,млн м³,вегетация
г/п Учтепа,,2022-04-10,расход,сред.,181.0,м³/с,вегетация
г/п Каль,,2022-04-10,расход,сред.,336.0,м³/с,вегетация
г/п Каль,,2022-04-10,расход,утро,327.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-10,расход,сред.,318.3,м³/с,вегетация
г/п Кокбулак,,2022-04-10,расход,сред.,534.0,м³/с,вегетация
г/п Келес,,2022-04-10,расход,сред.,37.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-11,приток,сред.,468.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-11,попуск,сред.,133.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-11,объем,сред.,7989.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-11,Сброс,сред.,301.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-11,приток,сред.,410.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-11,приток,утро,427.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-11,попуск,сред.,200.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-11,попуск,утро,200.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-11,расход,сред.,178.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-11,расход,утро,178.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-11,объем,сред.,3482.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-11,приток,сред.,571.2,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-11,приток,сред.,436.2,м³/с,вегетация
Шардаринское вдхр.,,2022-04-11,попуск,сред.,180.0,м³/с,вегетация
Кызылкумский канал,,2022-04-11,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-11,объем,сред.,5030.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-11,приток,сред.,286.0,м³/с,вегетация
река Угам,,2022-04-11,расход,сред.,70.4,м³/с,вегетация
Чарвакское вдхр.,,2022-04-11,попуск,сред.,74.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-11,расход,сред.,140.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-11,объем,сред.,797.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-11,приток,сред.,271.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-11,попуск,сред.,120.0,м³/с,вегетация
